Book,AudioFile,Question,EndTrial,thisN,thisTrialN,thisRepN,audiobook_trials.thisRepN,audiobook_trials.thisTrialN,audiobook_trials.thisN,audiobook_trials.thisIndex,trials_bip1.thisRepN,trials_bip1.thisTrialN,trials_bip1.thisN,trials_bip1.thisIndex,thisRow.t,notes,Instructions.started,instruction_text.started,text.started,key_resp_instruction.started,Instructions.stopped,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,Bips.started,pip.started,polygon.started,pip.stopped,polygon.stopped,Bips.stopped,monitor_frameRate,time_per_frame_sec,duration_40_frames_sec,AudioBook.started,audiobook.started,fixation.started,color_change_time,color_change_to,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.08031190000474453,0.09060799999861047,0.09060799999861047,0.09060799999861047,6.643867700011469,space,6.545901800011052,None,,,,,,,,,,,,,,,905201,001,2025-12-16_19h17.22.014,audiobook_uncomitted_experiment,,2025.2.3,59.99991599598554,2025-12-16 19h17.22.375450 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,0,0,0,0,0,0,0,0,6.657709899998736,,,,,,,,,,6.650302299996838,6.6577224666582575,6.657709899998736,7.691091000015149,7.691091000015149,7.67460719999508,,,,,,,,,905201,001,2025-12-16_19h17.22.014,audiobook_uncomitted_experiment,,2025.2.3,59.99991599598554,2025-12-16 19h17.22.375450 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.05749905394036,0.0166507099987939,0.666028399951756,8.110252999991644,8.124282500002302,8.124397100007627,0.7665208000107668,cyan,,,,,,,,,
