Book,AudioFile,Question,EndTrial,thisN,thisTrialN,thisRepN,audiobook_trials.thisRepN,audiobook_trials.thisTrialN,audiobook_trials.thisN,audiobook_trials.thisIndex,trials_bip1.thisRepN,trials_bip1.thisTrialN,trials_bip1.thisN,trials_bip1.thisIndex,thisRow.t,notes,Instructions.started,instruction_text.started,text.started,key_resp_instruction.started,Instructions.stopped,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,Bips.started,pip.started,polygon.started,pip.stopped,polygon.stopped,Bips.stopped,monitor_frameRate,time_per_frame_sec,duration_40_frames_sec,AudioBook.started,audiobook.started,fixation.started,color_change_time,color_change_to,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.07971260001068003,0.08613910002168268,0.08613910002168268,0.08613910002168268,4.122053300001426,space,4.023924699984491,None,,,,,,,,,,,,,,,667247,001,2025-12-16_19h21.16.708,audiobook_uncomitted_experiment,,2025.2.3,60.00175205053061,2025-12-16 19h21.17.070584 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,0,0,0,0,0,0,0,0,4.136393599997973,,,,,,,,,,4.129209100006847,4.136708566690019,4.136393599997973,5.169894400023622,5.169894400023622,5.1534084000159055,,,,,,,,,667247,001,2025-12-16_19h21.16.708,audiobook_uncomitted_experiment,,2025.2.3,60.00175205053061,2025-12-16 19h21.17.070584 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.94973814067299,0.01668063999968581,0.6672255999874324,5.590638499998022,5.60320659999852,5.603202400001464,4.766637299995637,blue,,,,,,,,,
