Book,AudioFile,Question,EndTrial,thisN,thisTrialN,thisRepN,audiobook_trials.thisRepN,audiobook_trials.thisTrialN,audiobook_trials.thisN,audiobook_trials.thisIndex,trials_bip1.thisRepN,trials_bip1.thisTrialN,trials_bip1.thisN,trials_bip1.thisIndex,thisRow.t,notes,Instructions.started,instruction_text.started,key_resp_instruction.started,Instructions.stopped,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,Bips.started,pip.started,polygon.started,pip.stopped,polygon.stopped,Bips.stopped,monitor_frameRate,time_per_frame_sec,duration_40_frames_sec,AudioBook.started,audiobook.started,fixation.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.09397409998928197,0.12667329999385402,0.12667329999385402,7.6639976000005845,space,7.534175100008724,None,,,,,,,,,,,,,pilot,001,2025-12-16_18h56.41.913,audiobook_uncomitted_experiment,,2025.2.3,59.92398044206255,2025-12-16 18h56.42.279161 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\prueba.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras.",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,0,0,0,0,0,0,0,0,7.6786329000024125,,,,,,,,,7.670991599996341,7.677188766658461,7.6786329000024125,8.711026900011348,8.711026900011348,8.695873899996514,,,,,,,pilot,001,2025-12-16_18h56.41.913,audiobook_uncomitted_experiment,,2025.2.3,59.92398044206255,2025-12-16 18h56.42.279161 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00232808360871,0.016666020001866854,0.6666408000746742,9.056830399989849,9.060771566674036,9.061353500001132,,,,,,,,,
