Book,AudioFile,Question,EndTrial,thisN,thisTrialN,thisRepN,audiobook_trials.thisRepN,audiobook_trials.thisTrialN,audiobook_trials.thisN,audiobook_trials.thisIndex,trials_bip1.thisRepN,trials_bip1.thisTrialN,trials_bip1.thisN,trials_bip1.thisIndex,thisRow.t,notes,Instructions.started,instruction_text.started,text.started,key_resp_instruction.started,Instructions.stopped,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,Bips.started,pip.started,polygon.started,pip.stopped,polygon.stopped,Bips.stopped,monitor_frameRate,time_per_frame_sec,duration_40_frames_sec,AudioBook.started,audiobook.started,fixation.started,color_change_time,color_change_to,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.07887309999205172,0.08585669999592938,0.08585669999592938,0.08585669999592938,12.138331199996173,space,12.04571040000883,None,,,,,,,,,,,,,,,609307,001,2025-12-16_19h24.36.014,audiobook_uncomitted_experiment,,2025.2.3,60.00729688697741,2025-12-16 19h24.36.376746 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\audio01.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,0,0,0,0,0,0,0,0,12.153270599985262,,,,,,,,,,12.144614899996668,12.152956666661582,12.153270599985262,13.186446300009266,13.186446300009266,13.17001520001213,,,,,,,,,609307,001,2025-12-16_19h24.36.014,audiobook_uncomitted_experiment,,2025.2.3,60.00729688697741,2025-12-16 19h24.36.376746 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.04657212644732,0.016653739998582752,0.66614959994331,13.605672400008189,13.619667699991261,13.619688400009181,66.43535479999264,violet,,,,,,,,,
