Book,AudioFile,Question,EndTrial
25_canelones,..\audiobook_stimuli\stimuli_audiobook\audio02.wav,¿Cuantos minutos debía durar la llamada? \n\n Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar...,Apretá la barra espaciadora para continuar con el segundo cuento...
,..\audiobook_stimuli\stimuli_audiobook\audio02.wav,¿Cómo muere el protagonista de la historia? \n\n Escribí una respuesta de hasta 10 palabras. Cuando termines apretá [Enter] para continuar…,Apretá la barra espaciadora para continuar...
