Book,AudioFile,Question,EndTrial,thisN,thisTrialN,thisRepN,answer.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,spacebar_response.keys,spacebar_response.rt,spacebar_response.duration,audiobook_trials.thisRepN,audiobook_trials.thisTrialN,audiobook_trials.thisN,audiobook_trials.thisIndex,trials_bip1.thisRepN,trials_bip1.thisTrialN,trials_bip1.thisN,trials_bip1.thisIndex,trials_bip2.thisRepN,trials_bip2.thisTrialN,trials_bip2.thisN,trials_bip2.thisIndex,thisRow.t,notes,Instructions.started,instruction_text.started,key_resp_instruction.started,Instructions.stopped,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,Bips.started,pip.started,polygon.started,pip.stopped,polygon.stopped,Bips.stopped,AudioBook.started,audiobook.started,fixation.started,audiobook.stopped,fixation.stopped,AudioBook.stopped,Questionary.started,question.started,Boton.started,answer.started,mouse.started,Questionary.stopped,audiobook_trials.answer.text,audiobook_trials.mouse.x,audiobook_trials.mouse.y,audiobook_trials.mouse.leftButton,audiobook_trials.mouse.midButton,audiobook_trials.mouse.rightButton,audiobook_trials.mouse.time,SpacebarContinue.started,spacebar_text.started,spacebar_response.started,SpacebarContinue.stopped,audiobook_trials.spacebar_response.keys,audiobook_trials.spacebar_response.rt,audiobook_trials.spacebar_response.duration,LastPrompt.started,last_prompt_text.started,key_resp.started,LastPrompt.stopped,key_resp.keys,key_resp.rt,key_resp.duration,GoodBye.started,congrats_text.started,key_resp_end.started,GoodBye.stopped,key_resp_end.keys,key_resp_end.rt,key_resp_end.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08172790001844987,0.09239280002657324,0.09239280002657324,7.7454485000052955,space,7.646750699990662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\prueba.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras.",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,7.7594551000220235,,,,,,,,,7.7518700000073295,7.759318666682035,7.7594551000220235,8.792836900014663,8.792836900014663,8.776354100002209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\prueba.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras.",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,octavio,[-0.10648148148148148],[0.12962962962962962],[1],[0],[0],[7.847383099986473],space,1.9723924999998417,None,0,0,0,0,,,,,0,0,0,0,24.726693300006445,,,,,,,,,24.712491200014483,24.7266770666795,24.726693300006445,25.760044300026493,25.760044300026493,25.743522600008873,8.788005900016287,8.792823966683743,8.792836900014663,14.393001500022365,14.393001500022365,14.376516800024547,14.379606400005287,14.393001500022365,14.393001500022365,14.393001500022365,0.0030946999904699624,22.227180800022325,octavio,[-0.10648148148148148],[0.12962962962962962],[1],[0],[0],[7.847383099986473],22.228881900024135,22.476616900006775,22.726614500017604,24.71032810001634,space,1.9723924999998417,None,,,,,,,,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
kafka,..\audiobook_stimuli\stimuli_audiobook\prueba.wav,"¿Quiénes son los protagonistas de esta historia? 

 Escribí una respuesta de hasta 10 palabras.",Apretá la barra espaciadora para continuar con el segundo cuento...,0,0,0,octavio,[-0.10648148148148148],[0.12962962962962962],[1],[0],[0],[7.847383099986473],space,1.9723924999998417,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
lugones,..\audiobook_stimuli\stimuli_audiobook\prueba.wav,"¿Cómo muere el protagonista de la historia? 

 Escribí una respuesta de hasta 10 palabras",Apretá la barra espaciadora para continuar...,0,0,0,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,25.760044300026493,,,,,,,,,25.746117800008506,25.759881166686924,25.760044300026493,26.793398100009654,26.793398100009654,26.776961700001266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
lugones,..\audiobook_stimuli\stimuli_audiobook\prueba.wav,"¿Cómo muere el protagonista de la historia? 

 Escribí una respuesta de hasta 10 palabras",Apretá la barra espaciadora para continuar...,0,0,0,aburrimiento,[-0.10648148148148148],[0.12962962962962962],[1],[0],[0],[4.363977700006217],space,1.2153945999743883,None,0,1,1,1,,,,,0,0,0,0,38.477134100015974,,,,,,,,,38.46308840002166,38.47711876666678,38.477134100015974,39.49380630001542,39.49380630001542,39.477327700005844,26.787629400001606,26.79341536667586,26.793398100009654,32.393595400004415,32.393595400004415,32.37722400002531,32.37976000001072,32.393595400004415,32.393595400004415,32.393595400004415,0.0025390000082552433,36.744002200022805,aburrimiento,[-0.10648148148148148],[0.12962962962962962],[1],[0],[0],[4.363977700006217],36.74540860002162,36.99373240000568,37.24361000000499,38.461018600006355,space,1.2153945999743883,None,,,,,,,,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
lugones,..\audiobook_stimuli\stimuli_audiobook\prueba.wav,"¿Cómo muere el protagonista de la historia? 

 Escribí una respuesta de hasta 10 palabras",Apretá la barra espaciadora para continuar...,1,1,0,aburrimiento,[-0.10648148148148148],[0.12962962962962962],[1],[0],[0],[4.363977700006217],space,1.2153945999743883,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.47785090000252,39.49380630001542,39.67717040001298,41.12755270002526,num_5,1.4372993000142742,None,,,,,,,,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.12757870001951,41.144074100011494,41.144074100011494,42.31092480002553,space,1.1627292000048328,None,160445,001,2025-12-16_18h18.12.682,audiobook_experiment,,2025.2.3,59.99930399928156,2025-12-16 18h18.13.041203 -0300,
